Year,Interest,Principal,Fees
,Payment,Payment,
2025,16500000,0,300000
2026,38122500,11500000,635435
2027,31766250,13594494,635435
2028,36110000,14544335,635435
2029,29894750,15906984,635435
2030,33982500,16823430,589436
2031,27914900,18940697,589436
2032,31303000,19040508,589436
2033,25974450,21934378,589436
2034,28773000,22315288,589436
2035,23098250,23814468,585129
2036,25185000,24022852,585129
2037,19897000,26080217,585129
2038,21792500,26806415,585129
2039,17207950,28936670,585129
2040,18204500,29796834,579035
2041,13553600,32562191,579035
2042,13075500,33480523,579035
2043,9554500,36617291,579035
2044,8211000,37715560,579035
2045,2354150,20629658,297523
